ORIGIN,DEST,ORIGIN_DEGREE,DEST_DEGREE,CARRIER_AA,CARRIER_AS,CARRIER_B6,CARRIER_DL,CARRIER_EV,CARRIER_F9,CARRIER_HA,CARRIER_NK,CARRIER_OO,CARRIER_UA,CARRIER_VX,CARRIER_WN,DEP_TIME_NIGHT,DEP_TIME_TWILIGHT,DEP_TIME_MORNING,DEP_TIME_NOON,DEP_TIME_AFTERNOON,DEP_TIME_EVENING
GEG,MSP,8303,106716,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
IAH,IND,99268,20910,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
CLT,CVG,74006,12692,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
SLC,OAK,88398,42979,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PHL,MSP,45880,106716,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IAH,DCA,99268,51878,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ORD,AUS,150532,33402,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
MCI,CLT,34569,74006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BWI,CMH,79861,18917,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
MSP,MDW,106716,79129,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
