ORIGIN,DEST,UNIQUE_CARRIER,ORIGIN_DEGREE,DEST_DEGREE,ORIGIN_NAME,ORIGIN_CITY,ORIGIN_IATA,ORIGIN_STATE,DEST_NAME,DEST_CITY,DEST_IATA,DEST_STATE
BUR,SJC,WN,20122,32808,Bob Hope Airport,Burbank,BUR,CA,Norman Y. Mineta San Jose International Airport,San Jose,SJC,CA
LAX,IAH,UA,152781,99268,Los Angeles International Airport,Los Angeles,LAX,CA,George Bush Intercontinental Houston Airport,Houston,IAH,TX
LAX,IAH,NK,152781,99268,Los Angeles International Airport,Los Angeles,LAX,CA,George Bush Intercontinental Houston Airport,Houston,IAH,TX
ATL,IAH,DL,322097,99268,Hartsfield Jackson Atlanta International Airport,Atlanta,ATL,GA,George Bush Intercontinental Houston Airport,Houston,IAH,TX
ATL,IAH,OO,322097,99268,Hartsfield Jackson Atlanta International Airport,Atlanta,ATL,GA,George Bush Intercontinental Houston Airport,Houston,IAH,TX
ATL,IAH,EV,322097,99268,Hartsfield Jackson Atlanta International Airport,Atlanta,ATL,GA,George Bush Intercontinental Houston Airport,Houston,IAH,TX
DTW,IAH,EV,98159,99268,Detroit Metropolitan Wayne County Airport,Detroit,DTW,MI,George Bush Intercontinental Houston Airport,Houston,IAH,TX
DTW,IAH,OO,98159,99268,Detroit Metropolitan Wayne County Airport,Detroit,DTW,MI,George Bush Intercontinental Houston Airport,Houston,IAH,TX
DTW,IAH,NK,98159,99268,Detroit Metropolitan Wayne County Airport,Detroit,DTW,MI,George Bush Intercontinental Houston Airport,Houston,IAH,TX
DTW,IAH,UA,98159,99268,Detroit Metropolitan Wayne County Airport,Detroit,DTW,MI,George Bush Intercontinental Houston Airport,Houston,IAH,TX
LBB,IAH,EV,3117,99268,Lubbock Preston Smith International Airport,Lubbock,LBB,TX,George Bush Intercontinental Houston Airport,Houston,IAH,TX
ORD,IAH,UA,150532,99268,Chicago O'Hare International Airport,Chicago,ORD,IL,George Bush Intercontinental Houston Airport,Houston,IAH,TX
ORD,IAH,NK,150532,99268,Chicago O'Hare International Airport,Chicago,ORD,IL,George Bush Intercontinental Houston Airport,Houston,IAH,TX
RIC,IAH,EV,10915,99268,Richmond International Airport,Richmond,RIC,VA,George Bush Intercontinental Houston Airport,Houston,IAH,TX
DCA,IAH,UA,51878,99268,Ronald Reagan Washington National Airport,Washington,DCA,VA,George Bush Intercontinental Houston Airport,Houston,IAH,TX
SFO,IAH,UA,127129,99268,San Francisco International Airport,San Francisco,SFO,CA,George Bush Intercontinental Houston Airport,Houston,IAH,TX
JAX,IAH,OO,14089,99268,Jacksonville International Airport,Jacksonville,JAX,FL,George Bush Intercontinental Houston Airport,Houston,IAH,TX
EWR,IAH,UA,76557,99268,Newark Liberty International Airport,Newark,EWR,NJ,George Bush Intercontinental Houston Airport,Houston,IAH,TX
BNA,IAH,EV,42788,99268,Nashville International Airport,Nashville,BNA,TN,George Bush Intercontinental Houston Airport,Houston,IAH,TX
CLE,IAH,EV,25087,99268,Cleveland Hopkins International Airport,Cleveland,CLE,OH,George Bush Intercontinental Houston Airport,Houston,IAH,TX
TYS,IAH,EV,5042,99268,McGhee Tyson Airport,Knoxville,TYS,TN,George Bush Intercontinental Houston Airport,Houston,IAH,TX
SEA,IAH,UA,99601,99268,Seattle Tacoma International Airport,Seattle,SEA,WA,George Bush Intercontinental Houston Airport,Houston,IAH,TX
SEA,IAH,AS,99601,99268,Seattle Tacoma International Airport,Seattle,SEA,WA,George Bush Intercontinental Houston Airport,Houston,IAH,TX
STL,IAH,EV,43005,99268,Lambert St Louis International Airport,St. Louis,STL,MO,George Bush Intercontinental Houston Airport,Houston,IAH,TX
FLL,IAH,UA,59958,99268,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,FLL,FL,George Bush Intercontinental Houston Airport,Houston,IAH,TX
FLL,IAH,NK,59958,99268,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,FLL,FL,George Bush Intercontinental Houston Airport,Houston,IAH,TX
CLT,IAH,AA,74006,99268,Charlotte Douglas International Airport,Charlotte,CLT,NC,George Bush Intercontinental Houston Airport,Houston,IAH,TX
CLT,IAH,EV,74006,99268,Charlotte Douglas International Airport,Charlotte,CLT,NC,George Bush Intercontinental Houston Airport,Houston,IAH,TX
CLT,IAH,OO,74006,99268,Charlotte Douglas International Airport,Charlotte,CLT,NC,George Bush Intercontinental Houston Airport,Houston,IAH,TX
